cpf;placa;diaria;id_aluguel;aluguel;devolucao;observacao
211.983.664-78;DEA-7981;80;1;17/3/22;24/3/22;OK
258.537.606-02;CBC-4945;120;2;2/4/22;10/4/22;OK
726.222.683-51;BEE-7735;110;3;18/4/22;25/4/22;OK
226.213.963-64;CBA-4403;100;4;4/5/22;14/5/22;OK
661.025.829-50;BBC-8504;90;5;20/5/22;27/5/22;OK
609.983.828-76;BEB-5885;90;6;5/6/22;14/6/22;Retrovisor direito quebrado
487.140.614-81;EDB-2475;150;7;25/6/22;30/6/22;OK
609.983.828-76;CBC-4945;120;8;15/7/22;22/7/22;OK
211.983.664-78;EDB-2475;150;9;4/8/22;8/8/22;OK
211.983.664-78;DEA-7981;80;10;24/8/22;30/8/22;Sem estepe
487.140.614-81;CBA-4403;100;11;13/9/22;20/9/22;OK
258.537.606-02;BBC-8504;90;12;16/9/22;24/9/22;OK
228.160.778-02;BEE-7735;110;13;19/9/22;24/9/22;OK
908.554.137-94;BEB-5885;90;14;22/9/22;27/9/22;Bancos sujos
609.983.828-76;CBA-4403;100;15;25/9/22;5/10/22;OK
735.003.345-12;BEE-7735;110;16;28/9/22;5/10/22;OK
211.983.664-78;BBC-8504;90;17;1/10/22;5/10/22;OK
487.140.614-81;CBC-4945;120;18;4/10/22;13/10/22;Vômito de bebê
226.213.963-64;DEA-7981;80;19;7/10/22;11/10/22;OK
487.140.614-81;CBC-4945;120;20;16/10/22;26/10/22;OK
908.554.137-94;EDB-2475;150;21;25/10/22;30/10/22;OK
726.222.683-51;CBA-4403;100;22;3/11/22;13/11/22;OK
228.160.778-02;BEB-5885;90;23;12/11/22;15/11/22;OK
908.554.137-94;BBC-8504;90;24;21/11/22;30/11/22;OK
726.222.683-51;DEA-7981;80;25;30/11/22;3/12/22;OK
211.983.664-78;CBC-4945;120;26;9/12/22;15/12/22;OK
